time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
1768819176.915372   16.505    0.413    -0.842    -0.983    -0.610 | -0.887    0.488    -0.180
1768819176.944150   21.887    0.547    1.868    -2.921    -0.312 | -0.887    0.488    -0.180
1768819176.974064   0.000    0.000    -1.674    -3.000    -0.635 | -0.954    0.536    -0.201
1768819177.001848   2.196    0.055    0.673    -3.000    0.051 | -0.954    0.536    -0.201
1768819177.035392   8.857    0.221    0.220    -0.080    -0.505 | -1.086    0.621    -0.224
1768819177.070666   26.774    0.669    -0.864    -0.652    0.060 | -1.086    0.621    -0.224
1768819177.124205   10.033    0.251    -2.391    -2.405    -0.806 | -1.179    0.680    -0.219
1768819177.193600   6.762    0.169    -2.620    -2.960    -0.031 | -1.179    0.680    -0.219
1768819177.226479   0.363    0.009    1.935    -3.000    -0.912 | -1.316    0.771    -0.183
1768819177.254031   0.000    0.000    -3.000    -2.595    0.396 | -1.316    0.771    -0.183
1768819177.288628   23.849    0.596    -0.544    -2.183    -0.823 | -1.448    0.889    -0.192
1768819177.321300   22.910    0.573    -2.986    -3.000    0.024 | -1.448    0.889    -0.192
1768819177.352100   4.139    0.103    -2.911    -2.178    0.363 | -1.527    0.991    -0.261
1768819177.382147   29.299    0.732    -3.000    -3.000    -0.699 | -1.601    1.096    -0.321
1768819177.417450   5.665    0.142    -3.000    -0.343    -0.750 | -1.601    1.096    -0.321
1768819177.452009   30.189    0.755    -2.598    -2.010    0.659 | -1.673    1.207    -0.369
1768819177.487777   14.711    0.368    -3.000    0.541    0.237 | -1.730    1.295    -0.394
1768819177.525157   28.464    0.712    1.840    -0.387    -0.959 | -1.730    1.295    -0.394
1768819177.557150   7.758    0.194    -0.128    1.281    0.372 | -1.812    1.425    -0.402
1768819177.585175   23.127    0.578    -0.874    1.143    -0.058 | -1.812    1.425    -0.402
1768819177.617286   37.461    0.937    0.411    -3.000    -0.945 | -1.897    1.549    -0.374
1768819177.645963   40.000    1.000    1.814    -1.215    0.296 | -1.897    1.549    -0.374
1768819177.678017   40.000    1.000    -0.679    -2.194    -0.633 | -2.019    1.707    -0.280
1768819177.704923   28.392    0.710    3.000    -0.714    -0.093 | -2.019    1.707    -0.280
1768819177.736216   27.800    0.695    0.495    0.762    -0.624 | -2.122    1.822    -0.165
1768819177.769237   18.653    0.466    2.831    -2.569    -0.823 | -2.122    1.822    -0.165
1768819177.801880   13.425    0.336    0.848    -2.691    -0.673 | -2.264    1.927    -0.059
1768819177.834797   14.413    0.360    0.761    -1.978    0.400 | -2.264    1.927    -0.059
1768819177.865796   0.000    0.000    -1.137    -3.000    -0.209 | -2.474    1.999    -0.023
1768819177.902718   0.000    0.000    1.053    -0.300    -0.895 | -2.474    1.999    -0.023
1768819177.933153   28.819    0.720    1.104    -2.884    0.841 | -2.769    2.108    0.005
1768819177.956881   31.325    0.783    2.788    -2.603    -0.275 | -2.769    2.108    0.005
1768819177.986028   26.092    0.652    -2.082    -2.820    0.377 | -3.058    2.188    -0.006
1768819178.013022   23.712    0.593    3.000    -3.000    -1.000 | -3.058    2.188    -0.006
1768819178.044286   21.722    0.543    -0.083    -3.000    0.253 | -3.335    2.278    -0.005
1768819178.076513   40.000    1.000    1.169    -3.000    0.306 | -3.335    2.278    -0.005
1768819178.108561   13.499    0.337    1.783    -2.941    0.230 | -3.651    2.379    0.029
