time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
25.284000   40.000    1.000    2.229    0.427    1.000 | 2.982    -0.137    -0.183
25.304000   0.858    0.021    2.212    2.753    0.463 | 2.982    -0.137    -0.183
25.328000   24.218    0.605    2.861    3.000    -0.665 | 3.094    -0.242    -0.079
25.360000   26.358    0.659    2.593    2.430    -0.697 | 3.213    -0.353    0.037
25.392000   21.393    0.535    2.810    -2.277    0.578 | 3.310    -0.446    0.139
25.420000   21.048    0.526    0.916    2.010    -0.217 | 3.359    -0.494    0.193
25.448000   11.363    0.284    3.000    0.009    -0.884 | 3.485    -0.618    0.336
25.472000   29.175    0.729    2.568    0.240    1.000 | 3.563    -0.697    0.427
25.500000   4.670    0.117    2.988    3.000    0.807 | 3.644    -0.780    0.520
25.532000   17.134    0.428    1.400    1.879    0.507 | 3.644    -0.780    0.520
25.556000   34.860    0.872    3.000    -1.465    -0.863 | 3.937    -1.007    0.641
25.576000   25.958    0.649    3.000    2.274    -0.470 | 3.937    -1.007    0.641
25.600000   16.567    0.414    2.247    3.000    -0.193 | 4.200    -1.221    0.727
25.628000   23.925    0.598    2.259    3.000    -0.483 | 4.297    -1.304    0.733
25.660000   33.056    0.826    3.000    -1.114    -0.113 | 4.581    -1.558    0.752
25.680000   21.733    0.543    -3.000    2.380    -0.373 | 4.669    -1.643    0.758
25.704000   30.353    0.759    3.000    -2.133    1.000 | 4.751    -1.728    0.764
25.732000   24.075    0.602    2.726    -1.075    -0.856 | 4.902    -1.897    0.774
25.756000   6.419    0.160    3.000    0.140    -0.931 | 5.033    -2.061    0.785
25.784000   34.598    0.865    1.262    1.426    0.607 | 5.089    -2.139    0.792
25.804000   40.000    1.000    -1.080    -0.325    0.057 | 5.162    -2.250    0.804
25.832000   32.718    0.818    3.000    -1.730    -0.537 | 5.162    -2.250    0.804
25.860000   35.577    0.889    2.436    -2.066    -0.995 | 5.295    -2.521    0.848
25.884000   27.856    0.696    3.000    2.509    -0.749 | 5.317    -2.582    0.860
25.908000   16.777    0.419    3.000    2.733    0.325 | 5.317    -2.582    0.860
25.928000   5.649    0.141    1.599    2.180    -0.654 | 5.363    -2.757    0.905
25.960000   37.686    0.942    1.212    2.095    -0.178 | 5.375    -2.838    0.929
25.988000   33.182    0.830    1.136    3.000    -0.918 | 5.375    -2.838    0.929
26.016000   16.592    0.415    2.304    1.148    -0.247 | 5.383    -3.028    0.978
26.040000   38.684    0.967    1.573    0.893    -0.388 | 5.360    -3.076    0.937
26.076000   40.000    1.000    0.920    1.685    -1.000 | 5.360    -3.076    0.937
26.104000   8.715    0.218    3.000    2.711    -0.676 | 5.240    -3.161    0.756
26.128000   21.533    0.538    3.000    2.277    -1.000 | 5.172    -3.192    0.678
26.156000   7.069    0.177    1.213    0.978    0.153 | 5.077    -3.235    0.578
26.180000   29.842    0.746    -0.559    0.635    1.000 | 5.001    -3.270    0.509
26.204000   27.489    0.687    -2.626    1.996    0.375 | 4.923    -3.305    0.443
26.232000   14.904    0.373    -1.640    0.887    0.513 | 4.848    -3.338    0.380
26.260000   8.566    0.214    -3.000    2.052    0.885 | 4.752    -3.381    0.303
26.284000   32.565    0.814    -3.000    2.318    0.047 | 4.752    -3.381    0.303
26.316000   11.335    0.283    -1.942    3.000    -0.963 | 4.592    -3.450    0.180
26.344000   2.819    0.070    -2.100    2.939    -0.549 | 4.525    -3.480    0.134
26.372000   16.963    0.424    -1.093    -2.662    0.260 | 4.435    -3.521    0.078
26.400000   19.170    0.479    -1.545    1.030    -0.244 | 4.344    -3.564    0.031
26.432000   31.157    0.779    -2.307    2.516    -0.521 | 4.344    -3.564    0.031
26.456000   36.610    0.915    -2.510    -2.062    -0.777 | 4.180    -3.653    -0.027
26.484000   34.092    0.852    -0.471    -1.135    -0.386 | 4.180    -3.653    -0.027
26.520000   36.077    0.902    -2.915    2.460    0.490 | 4.002    -3.760    -0.050
