time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
36.6120    0.0118     149668192.0000|  13.699   1.422   -2.210     -0.227|  29.999    26.320    -0.248|     -2.902    5.805    2.500|  -2.168    -1.204    0.014|   -0.341    0.681    0.000
36.6480    0.0109     153013344.0000|  15.228   2.241   -2.584     -0.195|  29.919    26.291    -0.248|     -2.915    5.829    2.500|  -2.127    -1.055    0.022|   -0.341    0.683    0.000
36.6800    0.0313     160086336.0000|  13.653   0.551   -1.202     -0.593|  29.850    26.268    -0.249|     -2.925    5.851    2.500|  -1.596    -0.902    0.011|   -0.342    0.684    0.000
36.7160    0.0130     159855824.0000|  19.171   1.263   -0.003     0.090|  29.799    26.249    -0.249|     -2.938    5.876    2.500|  -1.083    -0.814    -0.005|   -0.343    0.686    0.000
36.7520    0.0118     157480720.0000|  13.138   0.884   1.434     0.048|  29.744    26.236    -0.249|     -2.950    5.900    2.500|  -0.975    -0.625    -0.066|   -0.344    0.687    0.000
36.7880    0.0104     150019216.0000|  13.920   1.618   -0.639     0.222|  29.717    26.234    -0.249|     -2.963    5.925    2.500|  -0.491    -0.226    0.015|   -0.344    0.688    0.000
36.8200    0.0104     146683040.0000|  17.133   3.000   -1.559     -0.953|  29.702    26.256    -0.249|     -2.974    5.947    2.500|  -0.254    0.256    0.011|   -0.345    0.690    0.000
36.8560    0.0106     156385488.0000|  17.578   0.363   -2.108     0.173|  29.698    26.288    -0.249|     -2.986    5.972    2.500|  -0.376    0.527    0.010|   -0.346    0.691    0.000
36.8920    0.0145     151329488.0000|  16.809   1.140   -1.889     -0.671|  29.681    26.343    -0.248|     -2.998    5.997    2.500|  -0.905    0.732    -0.007|   -0.346    0.693    0.000
36.9280    0.0104     148572560.0000|  13.107   1.344   -3.000     -0.382|  29.649    26.404    -0.248|     -3.011    6.022    2.500|  -1.097    0.873    0.015|   -0.347    0.694    0.000
36.9600    0.0103     158232464.0000|  19.721   -0.407   -2.017     -0.434|  29.622    26.450    -0.247|     -3.022    6.044    2.500|  -0.916    0.396    0.011|   -0.348    0.695    0.000
36.9960    0.0100     152994176.0000|  13.954   0.265   -2.906     -0.912|  29.604    26.473    -0.247|     -3.035    6.069    2.500|  -0.760    0.083    -0.018|   -0.348    0.697    0.000
37.0320    0.0147     160235696.0000|  20.362   0.478   -1.674     0.073|  29.562    26.524    -0.247|     -3.047    6.094    2.500|  -1.207    0.569    0.010|   -0.349    0.698    0.000
37.0680    0.0113     161719904.0000|  16.059   0.493   -2.250     0.133|  29.529    26.552    -0.246|     -3.060    6.119    2.500|  -1.532    0.702    0.004|   -0.350    0.700    0.000
37.1000    0.0099     163538912.0000|  17.174   -2.435   -2.952     -0.691|  29.483    26.588    -0.246|     -3.071    6.142    2.500|  -1.343    0.476    -0.020|   -0.350    0.701    0.000
37.1360    0.0105     163233984.0000|  13.306   0.254   0.248     -0.371|  29.420    26.623    -0.246|     -3.084    6.167    2.500|  -1.771    0.560    0.017|   -0.351    0.702    0.000
37.1720    0.0097     156289712.0000|  18.455   0.424   -0.900     -0.828|  29.353    26.662    -0.246|     -3.096    6.192    2.500|  -1.250    0.356    0.009|   -0.352    0.704    0.000
37.2080    0.0145     153793664.0000|  14.555   -0.576   -1.657     -0.588|  29.308    26.695    -0.245|     -3.109    6.218    2.500|  -0.743    0.392    0.006|   -0.353    0.705    0.000
37.2400    0.0095     149670192.0000|  9.133   0.953   -2.408     -0.565|  29.286    26.708    -0.245|     -3.120    6.240    2.500|  -0.808    0.019    0.006|   -0.353    0.707    0.000
37.2760    0.0118     151434912.0000|  12.384   -0.971   -3.000     -0.006|  29.247    26.713    -0.245|     -3.133    6.266    2.500|  -1.134    -0.194    0.006|   -0.354    0.708    0.000
37.3120    0.0116     146446336.0000|  15.201   1.651   -2.543     -0.687|  29.199    26.707    -0.245|     -3.146    6.291    2.500|  -1.076    -0.557    0.008|   -0.355    0.709    0.000
37.3480    0.0115     151320416.0000|  14.080   -1.372   -2.286     0.050|  29.170    26.691    -0.245|     -3.158    6.317    2.500|  -1.041    -0.715    0.010|   -0.355    0.711    0.000
37.3800    0.0092     144890656.0000|  13.414   -0.328   -0.196     -0.085|  29.137    26.670    -0.245|     -3.170    6.340    2.500|  -1.144    -0.580    0.008|   -0.356    0.712    0.000
37.4160    0.0106     140003136.0000|  11.712   1.775   -3.000     0.069|  29.098    26.651    -0.245|     -3.183    6.365    2.500|  -1.098    -0.564    -0.007|   -0.357    0.714    0.000
37.4520    0.0125     153828480.0000|  16.949   2.503   -2.165     -0.177|  29.053    26.622    -0.245|     -3.196    6.391    2.500|  -1.037    -0.717    -0.018|   -0.358    0.715    0.000
37.4880    0.0114     148080176.0000|  14.038   0.470   -0.257     -0.469|  29.009    26.587    -0.245|     -3.208    6.417    2.500|  -1.095    -1.044    0.006|   -0.358    0.716    0.000
37.5200    0.0107     140824592.0000|  14.829   0.985   -1.698     -0.658|  28.974    26.547    -0.245|     -3.220    6.440    2.500|  -1.171    -1.432    0.005|   -0.359    0.718    0.000
37.5560    0.0087     138887952.0000|  17.133   0.585   -2.643     -0.934|  28.932    26.492    -0.245|     -3.233    6.466    2.500|  -1.364    -1.801    0.004|   -0.360    0.719    0.000
37.5920    0.0116     141347184.0000|  14.538   0.821   -0.070     -0.596|  28.888    26.429    -0.245|     -3.246    6.492    2.500|  -1.375    -1.991    0.000|   -0.360    0.721    0.000
37.6280    0.0115     134398256.0000|  14.568   2.308   -1.109     -0.604|  28.830    26.350    -0.245|     -3.259    6.517    2.500|  -1.534    -1.712    0.005|   -0.361    0.722    0.000
37.6600    0.0152     137228416.0000|  18.416   1.597   -0.042     -0.815|  28.775    26.283    -0.245|     -3.270    6.541    2.500|  -1.552    -1.770    0.006|   -0.362    0.723    0.000
37.6960    0.0091     135426592.0000|  11.462   1.869   -1.320     -0.141|  28.727    26.227    -0.245|     -3.283    6.567    2.500|  -1.337    -1.249    0.006|   -0.362    0.725    0.000
37.7320    0.0100     136946384.0000|  13.668   1.969   -1.152     -0.249|  28.675    26.179    -0.244|     -3.296    6.593    2.500|  -1.119    -0.900    0.009|   -0.363    0.726    0.000
37.7680    0.0108     133479664.0000|  12.887   1.791   -1.587     -0.984|  28.621    26.139    -0.244|     -3.309    6.619    2.500|  -1.276    -0.789    0.019|   -0.364    0.728    0.000
37.8000    0.0103     131943360.0000|  13.962   3.000   -2.090     -1.000|  28.592    26.120    -0.244|     -3.321    6.642    2.500|  -0.949    -0.864    -0.006|   -0.364    0.729    0.000
37.8360    0.0104     129372792.0000|  12.850   1.798   0.436     0.162|  28.569    26.101    -0.244|     -3.334    6.669    2.500|  -0.424    -0.713    0.002|   -0.365    0.730    0.000
37.8720    0.0104     115301792.0000|  16.968   1.498   -0.784     -0.703|  28.559    26.086    -0.243|     -3.347    6.695    2.500|  -0.232    -0.568    0.013|   -0.366    0.732    0.000
37.9080    0.0104     102573272.0000|  14.148   1.078   -2.902     -0.762|  28.550    26.076    -0.243|     -3.361    6.721    2.500|  -0.373    -0.313    0.007|   -0.367    0.733    0.000
37.9400    0.0109     101742192.0000|  12.128   0.291   -3.000     -1.000|  28.544    26.078    -0.242|     -3.372    6.745    2.500|  -0.370    -0.126    0.008|   -0.367    0.735    0.000
37.9760    0.0104     100150808.0000|  15.303   -0.155   -2.951     -0.608|  28.541    26.086    -0.242|     -3.386    6.771    2.500|  -0.316    0.219    0.008|   -0.368    0.736    0.000
38.0120    0.0093     96095200.0000|  9.078   0.964   -2.694     -0.355|  28.545    26.124    -0.242|     -3.399    6.798    2.500|  0.161    0.612    -0.006|   -0.369    0.737    0.000
38.0480    0.0087     92253472.0000|  8.847   1.095   -2.092     -0.681|  28.556    26.146    -0.241|     -3.412    6.824    2.500|  0.472    0.491    -0.029|   -0.369    0.739    0.000
38.0800    0.0142     81175824.0000|  17.565   -0.961   -3.000     -0.942|  28.586    26.179    -0.241|     -3.424    6.848    2.500|  0.870    0.228    -0.012|   -0.370    0.740    0.000
38.1160    0.0124     76472464.0000|  14.240   1.074   -3.000     -0.752|  28.615    26.210    -0.241|     -3.437    6.875    2.500|  0.614    0.554    0.008|   -0.371    0.742    0.000
38.1520    0.0103     73374680.0000|  11.834   1.425   -3.000     -0.469|  28.650    26.242    -0.240|     -3.451    6.901    2.500|  0.587    0.010    0.004|   -0.372    0.743    0.000
38.1880    0.0113     72855888.0000|  15.245   -0.696   -2.872     -0.841|  28.678    26.255    -0.240|     -3.464    6.928    2.500|  0.360    -0.094    0.004|   -0.372    0.744    0.000
38.2200    0.0113     75928616.0000|  14.456   0.810   -3.000     -0.561|  28.694    26.271    -0.240|     -3.476    6.952    2.500|  0.033    0.170    0.011|   -0.373    0.746    0.000
38.2560    0.0113     80490216.0000|  16.663   0.851   -2.975     -0.833|  28.703    26.289    -0.239|     -3.489    6.979    2.500|  0.177    0.041    0.043|   -0.374    0.747    0.000
38.2920    0.0094     88192608.0000|  18.981   -1.467   -3.000     -0.697|  28.711    26.296    -0.239|     -3.503    7.006    2.500|  0.100    -0.398    0.005|   -0.374    0.749    0.000
38.3280    0.0111     91560168.0000|  17.943   -0.862   -3.000     -0.982|  28.711    26.280    -0.238|     -3.516    7.033    2.500|  -0.035    -1.005    0.005|   -0.375    0.750    0.000
38.3600    0.0109     96402864.0000|  15.341   -0.507   -3.000     -0.873|  28.709    26.259    -0.238|     -3.528    7.057    2.500|  -0.012    -1.268    0.004|   -0.376    0.751    0.000
38.3960    0.0096     106473288.0000|  15.045   -0.232   -3.000     -0.264|  28.699    26.211    -0.237|     -3.542    7.084    2.500|  -0.370    -1.265    0.007|   -0.376    0.753    0.000
38.4320    0.0103     108858384.0000|  16.373   0.595   -3.000     -0.955|  28.688    26.186    -0.236|     -3.555    7.111    2.500|  -0.497    -0.885    0.012|   -0.377    0.754    0.000
38.4680    0.0114     117634696.0000|  16.682   -0.288   -2.949     -0.923|  28.661    26.142    -0.235|     -3.569    7.138    2.500|  -0.673    -1.016    0.012|   -0.378    0.756    0.000
38.5000    0.0117     122259328.0000|  12.880   -0.242   -3.000     -0.821|  28.625    26.100    -0.234|     -3.581    7.162    2.500|  -0.682    -0.951    0.010|   -0.378    0.757    0.000
38.5360    0.0098     127154592.0000|  11.471   -0.844   -2.889     -0.932|  28.603    26.070    -0.233|     -3.595    7.190    2.500|  -0.366    -0.819    0.017|   -0.379    0.758    0.000
38.5720    0.0121     138261504.0000|  11.285   -1.692   -3.000     -0.591|  28.574    26.043    -0.231|     -3.608    7.217    2.500|  -0.426    -0.522    0.012|   -0.380    0.760    0.000
38.6080    0.0107     137371168.0000|  15.718   -0.354   -2.561     -0.840|  28.546    26.029    -0.230|     -3.622    7.244    2.500|  -0.333    -0.273    -0.027|   -0.381    0.761    0.000
38.6400    0.0098     133964896.0000|  20.450   1.925   -3.000     -0.869|  28.536    26.026    -0.230|     -3.634    7.269    2.500|  -0.616    -0.353    0.017|   -0.381    0.763    0.000
38.6760    0.0107     134100512.0000|  16.223   1.936   -2.752     -0.702|  28.495    26.012    -0.228|     -3.648    7.296    2.500|  -0.732    -0.466    0.032|   -0.382    0.764    0.000
38.7120    0.0114     133709536.0000|  14.469   1.691   -1.645     -0.935|  28.441    26.008    -0.226|     -3.662    7.324    2.500|  -1.172    -0.335    0.016|   -0.383    0.765    0.000
38.7480    0.0131     135116688.0000|  16.241   1.728   -2.963     -0.572|  28.389    26.006    -0.225|     -3.676    7.351    2.500|  -1.584    -0.360    0.016|   -0.383    0.767    0.000
38.7800    0.0134     135243504.0000|  16.095   1.166   -3.000     -0.782|  28.357    26.006    -0.225|     -3.688    7.376    2.500|  -1.725    -0.251    0.017|   -0.384    0.768    0.000
38.8160    0.0104     120064216.0000|  13.095   2.214   -3.000     -0.292|  28.239    26.007    -0.223|     -3.702    7.404    2.500|  -1.579    -0.000    0.019|   -0.385    0.770    0.000
38.8520    0.0107     115393576.0000|  15.256   2.094   -3.000     -1.000|  28.176    26.014    -0.222|     -3.716    7.431    2.500|  -1.471    0.010    0.016|   -0.386    0.771    0.000
38.8880    0.0156     110987912.0000|  13.861   1.954   -2.718     -0.835|  28.106    26.033    -0.220|     -3.730    7.459    2.500|  -1.220    0.501    0.016|   -0.386    0.772    0.000
38.9200    0.0118     109351848.0000|  16.350   -0.465   -2.469     -0.798|  28.067    26.052    -0.220|     -3.742    7.484    2.500|  -1.142    0.556    0.000|   -0.387    0.774    0.000
38.9560    0.0119     102269376.0000|  16.202   1.296   -2.237     -1.000|  28.012    26.084    -0.219|     -3.756    7.512    2.500|  -1.576    0.779    0.019|   -0.388    0.775    0.000
38.9920    0.0108     95033656.0000|  7.040   2.678   -3.000     -0.713|  27.934    26.131    -0.218|     -3.770    7.540    2.500|  -1.694    0.606    0.018|   -0.388    0.777    0.000
39.0280    0.0128     101319744.0000|  12.792   -0.050   -2.938     -0.790|  27.847    26.176    -0.217|     -3.784    7.568    2.500|  -1.966    0.697    0.017|   -0.389    0.778    0.000
39.0600    0.0110     98411928.0000|  17.514   0.218   -3.000     -0.456|  27.778    26.213    -0.217|     -3.796    7.593    2.500|  -1.633    0.763    0.015|   -0.390    0.779    0.000
39.0960    0.0125     98460768.0000|  8.893   0.662   -2.763     -0.742|  27.720    26.250    -0.216|     -3.810    7.621    2.500|  -1.371    0.652    0.010|   -0.390    0.781    0.000
39.1320    0.0130     98620368.0000|  15.322   -0.663   -3.000     -0.436|  27.655    26.290    -0.216|     -3.824    7.649    2.500|  -0.958    0.479    0.011|   -0.391    0.782    0.000
39.1680    0.0115     98896432.0000|  14.799   -1.142   -3.000     -0.649|  27.628    26.310    -0.216|     -3.838    7.677    2.500|  -0.651    0.498    0.009|   -0.392    0.784    0.000
39.2000    0.0131     92411112.0000|  7.499   0.033   -3.000     -0.647|  27.600    26.340    -0.216|     -3.851    7.702    2.500|  -0.351    0.369    -0.016|   -0.392    0.785    0.000
39.2360    0.0160     89358128.0000|  11.794   -0.680   -2.969     -0.734|  27.588    26.355    -0.216|     -3.865    7.730    2.500|  -0.476    0.420    0.011|   -0.393    0.786    0.000
39.2720    0.0128     78568136.0000|  13.720   -0.586   -3.000     -0.654|  27.562    26.393    -0.217|     -3.879    7.759    2.500|  -0.602    0.761    0.008|   -0.394    0.788    0.000
39.3080    0.0127     76137296.0000|  10.255   0.175   -3.000     -0.214|  27.542    26.421    -0.217|     -3.894    7.787    2.500|  -0.855    0.799    0.008|   -0.395    0.789    0.000
39.3400    0.0193     73827008.0000|  12.874   -0.875   -3.000     -1.000|  27.513    26.456    -0.217|     -3.906    7.812    2.500|  -1.085    1.061    0.019|   -0.395    0.791    0.000
39.3760    0.0172     73717096.0000|  12.103   -0.117   -3.000     -0.360|  27.482    26.495    -0.218|     -3.920    7.841    2.500|  -1.019    1.018    0.005|   -0.396    0.792    0.000
39.4120    0.0151     73311088.0000|  6.026   -0.513   -3.000     -0.358|  27.441    26.548    -0.218|     -3.935    7.869    2.500|  -1.002    1.154    -0.001|   -0.397    0.793    0.000
39.4480    0.0138     72999616.0000|  11.432   1.105   -3.000     -0.998|  27.410    26.596    -0.219|     -3.949    7.898    2.500|  -0.898    1.172    0.012|   -0.397    0.795    0.000
39.4800    0.0122     74526816.0000|  16.206   0.512   -3.000     -0.757|  27.372    26.639    -0.219|     -3.962    7.923    2.500|  -1.130    1.021    0.008|   -0.398    0.796    0.000
39.5160    0.0108     77157792.0000|  8.593   -0.171   -3.000     -0.444|  27.336    26.682    -0.220|     -3.976    7.952    2.500|  -0.881    1.148    0.006|   -0.399    0.798    0.000
39.5520    0.0136     77289696.0000|  13.867   0.049   -3.000     -1.000|  27.297    26.741    -0.221|     -3.990    7.981    2.500|  -0.647    1.199    -0.010|   -0.400    0.799    0.000
39.5880    0.0112     77216128.0000|  11.118   -1.285   -3.000     -0.943|  27.271    26.781    -0.222|     -4.005    8.010    2.500|  -0.885    1.010    0.012|   -0.400    0.800    0.000
39.6200    0.0133     75166392.0000|  9.066   -1.663   -3.000     -0.827|  27.240    26.825    -0.222|     -4.018    8.035    2.500|  -0.766    1.187    0.008|   -0.401    0.802    0.000
39.6560    0.0118     72646208.0000|  8.638   2.824   -3.000     -0.655|  27.215    26.880    -0.224|     -4.032    8.064    2.500|  -0.563    1.310    -0.003|   -0.402    0.803    0.000
39.6920    0.0122     74273736.0000|  8.678   -0.261   -3.000     -0.149|  27.188    26.941    -0.225|     -4.047    8.093    2.500|  -0.650    1.292    -0.006|   -0.402    0.805    0.000
39.7280    0.0120     72507360.0000|  7.913   1.210   -3.000     -0.685|  27.170    26.992    -0.226|     -4.061    8.122    2.500|  -0.432    1.425    0.001|   -0.403    0.806    0.000
39.7600    0.0101     71058816.0000|  8.450   0.033   -3.000     -0.586|  27.156    27.039    -0.227|     -4.074    8.148    2.500|  -0.587    1.031    0.003|   -0.404    0.807    0.000
39.7960    0.0107     69719280.0000|  10.039   0.224   -3.000     -0.432|  27.135    27.075    -0.228|     -4.088    8.177    2.500|  -0.711    0.648    0.008|   -0.404    0.809    0.000
39.8320    0.0146     68320832.0000|  11.014   2.001   -3.000     -0.717|  27.107    27.096    -0.229|     -4.103    8.206    2.500|  -0.915    0.233    0.005|   -0.405    0.810    0.000
39.8680    0.0090     69573992.0000|  13.147   1.900   -3.000     -0.837|  27.059    27.109    -0.230|     -4.118    8.235    2.500|  -1.041    0.330    -0.008|   -0.406    0.812    0.000
39.9000    0.0116     70535808.0000|  7.879   1.165   -3.000     -0.869|  27.022    27.111    -0.231|     -4.131    8.261    2.500|  -1.051    -0.106    0.005|   -0.406    0.813    0.000
39.9360    0.0097     70934584.0000|  9.367   0.249   -2.924     -0.469|  26.984    27.095    -0.231|     -4.145    8.291    2.500|  -1.077    -0.514    0.004|   -0.407    0.814    0.000
39.9720    0.0105     67472328.0000|  9.411   0.465   -3.000     -0.842|  26.938    27.061    -0.232|     -4.160    8.320    2.500|  -0.884    -0.791    0.004|   -0.408    0.816    0.000
