Step 7640/8000 | Time: 152.80s | Cost: 571.19
Step 7660/8000 | Time: 153.20s | Cost: 537.23
Step 7680/8000 | Time: 153.60s | Cost: 590.65
Step 7700/8000 | Time: 154.00s | Cost: 465.14
Step 7720/8000 | Time: 154.40s | Cost: 505.57
Step 7740/8000 | Time: 154.80s | Cost: 641.62
Step 7760/8000 | Time: 155.20s | Cost: 482.46
Step 7780/8000 | Time: 155.60s | Cost: 515.70
Step 7800/8000 | Time: 156.00s | Cost: 604.19
Step 7820/8000 | Time: 156.40s | Cost: 543.56
Step 7840/8000 | Time: 156.80s | Cost: 601.07
Step 7860/8000 | Time: 157.20s | Cost: 480.64
Step 7880/8000 | Time: 157.60s | Cost: 568.82
Step 7900/8000 | Time: 158.00s | Cost: 744.57
Step 7920/8000 | Time: 158.40s | Cost: 548.99
Step 7940/8000 | Time: 158.80s | Cost: 579.99
Step 7960/8000 | Time: 159.20s | Cost: 497.23
Step 7980/8000 | Time: 159.60s | Cost: 451.85
